Order,Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Age,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Misc Val,SalePrice
37,102,12858,9,5,2009,14,0,0,1590,1590,1627,707,0,2334,3,10,1,3,751,144,133,0,376162
38,98,11478,8,5,2007,16,1218,0,486,1704,1704,0,0,1704,3,7,1,3,772,0,50,0,306000
39,83,10159,9,5,2009,14,1646,0,284,1930,1940,0,0,1940,3,8,1,3,606,168,95,0,395192
40,94,12883,8,5,2009,14,0,0,1544,1544,1544,0,0,1544,3,7,0,3,868,0,35,0,290941
41,95,12182,7,5,2005,18,1201,0,340,1541,1541,0,0,1541,3,7,1,2,532,0,70,0,220000
42,90,11520,9,5,2005,18,110,0,1588,1698,1698,0,0,1698,3,7,1,3,730,192,74,0,275000
43,79,14122,8,5,2005,18,28,0,1794,1822,1822,0,0,1822,3,8,1,3,678,0,119,0,259000
44,70,10171,7,5,2004,19,2,0,1515,1517,1535,0,0,1535,3,7,0,2,532,0,0,0,214000
45,100,12919,9,5,2009,14,2188,0,142,2330,2364,0,0,2364,2,11,2,3,820,0,67,0,611657
46,44,6371,7,5,2009,14,733,0,625,1358,1358,0,0,1358,2,6,1,2,484,192,35,0,224000
47,110,14300,9,5,2003,20,1373,0,1473,2846,2696,0,0,2696,3,10,2,3,958,220,150,0,500000
48,105,13650,8,5,2002,21,578,0,1093,1671,1687,563,0,2250,3,7,1,3,756,238,130,0,320000
49,61,7658,9,5,2005,18,456,0,1296,1752,1752,0,0,1752,2,6,1,2,576,196,82,0,319900
50,41,7132,8,5,2006,17,24,0,1346,1370,1370,0,0,1370,2,6,1,2,484,120,49,0,205000
51,36,2628,7,5,2003,20,0,0,764,764,764,862,0,1626,2,6,0,2,474,0,27,0,175500
52,100,18494,6,5,2005,18,0,0,1324,1324,1324,0,0,1324,3,6,0,2,430,36,23,0,199500
53,43,3203,7,5,2006,17,16,0,1129,1145,1145,0,0,1145,2,6,0,2,437,100,116,0,160000
54,43,3182,8,5,2004,19,24,0,1232,1256,1269,0,0,1269,2,6,1,2,430,146,20,0,192000
55,67,13300,7,5,2004,19,326,0,58,384,744,630,0,1374,3,7,1,2,400,100,0,0,184500
56,,7851,6,5,2002,21,625,0,235,860,860,1100,0,1960,4,8,2,2,440,288,48,0,216500
57,63,8577,7,5,2004,19,0,0,847,847,847,886,0,1733,3,7,1,2,433,144,48,0,185088
58,,7750,7,5,2000,23,250,0,134,384,774,656,0,1430,3,7,1,2,400,180,0,0,180000
59,,9505,7,5,2001,22,0,0,884,884,884,1151,0,2035,3,8,1,2,434,144,48,0,222500
60,108,14774,9,5,1999,24,0,0,1393,1393,1422,1177,0,2599,4,10,1,3,779,668,30,0,333168
61,60,17433,8,5,1998,25,0,0,1629,1629,1645,830,0,2475,4,7,1,3,962,23,172,0,355000
62,59,10593,7,5,1996,27,919,0,801,1720,1720,0,0,1720,3,7,1,2,527,240,56,0,260400
63,98,12256,8,5,1994,29,1032,0,431,1463,1500,1122,0,2622,3,9,2,2,712,186,32,0,325000
64,92,11764,8,7,1999,24,524,0,628,1152,1164,1106,0,2270,4,9,1,3,671,132,57,0,290000
65,58,16770,7,5,1998,25,0,0,1195,1195,1195,644,0,1839,4,7,0,2,486,0,81,0,221000
66,56,14720,8,5,1995,28,816,0,1217,2033,2053,1185,0,3238,4,9,1,3,666,283,86,0,410000
67,73,8987,8,5,2005,18,0,0,1595,1595,1595,0,0,1595,2,6,1,3,880,144,0,0,221500
68,92,9215,7,5,2009,14,0,0,1218,1218,1218,0,0,1218,2,4,0,2,676,0,136,0,204500
69,72,8640,7,5,2009,14,24,0,732,756,764,783,0,1547,3,7,0,2,614,169,45,0,215200
70,75,9000,8,5,2008,15,1078,0,488,1566,1566,0,0,1566,3,7,0,2,750,144,168,0,262500
71,100,12552,7,5,2004,19,222,0,769,991,991,956,0,1947,3,8,1,2,678,0,136,0,254900
72,84,10440,6,5,2005,18,1414,0,54,1468,1468,0,0,1468,2,6,1,2,528,0,102,0,271500
73,76,10142,7,5,2004,19,656,0,300,956,956,1128,0,2084,4,8,0,2,618,0,45,0,233000
74,70,11920,7,5,2004,19,0,0,831,831,831,828,0,1659,3,8,0,2,484,144,68,0,181000
75,,8880,7,5,1994,29,695,0,253,948,1222,888,0,2110,3,8,2,2,463,0,130,0,205000
76,50,8012,6,5,1980,43,543,119,261,923,923,0,0,923,2,5,1,1,264,80,0,0,143000
77,70,11218,6,5,1992,31,0,0,1055,1055,1055,790,0,1845,3,8,1,2,462,635,104,400,189000
78,55,7892,6,5,1979,44,0,0,918,918,918,0,0,918,2,5,1,1,264,28,0,0,99500
79,50,7175,6,5,1984,39,623,121,0,744,752,0,0,752,2,4,0,1,264,353,0,0,125000
80,,9453,7,7,1993,30,402,0,594,996,1014,730,0,1744,3,7,0,2,457,370,70,0,194500
81,81,9672,6,5,1984,39,338,0,702,1040,1097,0,0,1097,3,6,0,2,480,0,0,0,152000
82,70,8400,6,6,1980,43,0,0,650,650,888,676,0,1564,3,7,1,2,476,0,50,0,171000
83,70,9800,5,5,1920,103,0,0,816,816,1012,0,0,1012,2,5,0,1,429,121,0,0,67500
84,68,8930,6,5,1978,45,0,0,0,0,1318,584,0,1902,4,8,0,2,539,0,0,0,112000
85,88,11782,5,7,1961,62,899,0,210,1109,1155,0,0,1155,3,6,0,2,576,192,0,400,148000
86,65,8450,5,8,1965,58,553,117,224,894,894,0,0,894,3,5,1,1,336,416,144,0,138500
87,,9819,5,5,1967,56,450,0,432,882,900,0,0,900,3,5,0,1,280,0,0,0,122000
88,75,7500,5,5,1963,60,824,0,216,1040,1040,0,0,1040,3,5,0,1,308,0,0,0,133000
89,,6897,5,8,1962,61,659,0,381,1040,1040,0,0,1040,3,6,0,1,260,0,104,0,127000
90,39,15410,6,6,1974,49,126,859,223,1208,1494,0,0,1494,3,7,2,2,461,296,0,0,169000
91,107,10186,7,5,1992,31,674,0,76,750,1061,862,0,1923,3,8,1,2,564,240,39,0,190000
92,85,13143,8,5,1993,30,250,981,0,1231,1251,1098,0,2349,4,9,1,3,762,32,130,0,362500
93,88,11134,8,5,1992,31,1129,0,261,1390,1402,823,0,2225,4,7,1,3,713,198,30,0,285000
94,25,4835,7,5,2004,19,1298,0,190,1488,1488,0,0,1488,2,6,1,2,506,168,50,0,260000
95,39,3515,7,5,2004,19,0,0,840,840,840,840,0,1680,2,3,0,2,588,0,111,0,190000
96,30,3215,7,5,2004,19,280,0,320,600,600,600,0,1200,2,4,0,2,480,0,172,0,155000
97,30,3182,7,5,2004,19,0,0,600,600,600,600,0,1200,2,4,0,2,480,0,172,0,151000
98,24,2544,7,5,2004,19,368,42,190,600,600,600,0,1200,2,4,0,2,480,0,172,0,149500
99,24,2544,6,5,2005,18,376,0,224,600,600,636,0,1236,2,4,0,2,480,0,166,0,152000
100,,4403,7,5,2009,14,578,0,892,1470,1478,0,0,1478,2,7,1,2,484,0,144,0,222000
101,,2117,6,5,2000,23,378,0,378,756,769,804,0,1573,3,5,0,2,440,0,32,0,177500
102,,2980,6,5,2000,23,466,0,290,756,756,756,0,1512,2,5,0,2,440,0,32,0,177000
103,24,2572,7,5,1999,24,604,0,92,696,696,720,0,1416,3,6,0,2,484,0,44,0,155000
104,,2403,7,5,2003,20,244,0,286,530,530,550,0,1080,2,4,0,2,496,0,50,0,147110
105,57,12853,8,5,2010,13,1032,0,610,1642,1418,0,0,1418,1,6,1,3,852,160,192,0,267916
106,68,7379,8,5,2000,23,484,0,491,975,975,873,0,1848,3,7,1,2,592,280,184,0,254000
107,30,4420,8,5,1980,43,728,0,0,728,788,0,0,788,1,3,1,2,484,133,42,0,155000
108,40,3880,8,6,1978,45,1052,0,174,1226,1226,0,0,1226,1,4,1,2,484,223,78,0,206000
109,,13517,6,8,1976,47,533,0,192,725,725,754,0,1479,3,6,0,2,475,0,44,0,130500
110,80,8000,7,5,2002,21,833,0,659,1492,1492,0,0,1492,3,6,1,2,596,277,137,0,230000
111,,10456,6,6,1967,56,506,0,1323,1829,1829,0,0,1829,4,8,0,2,535,0,76,0,218500
112,80,10791,6,5,1993,30,1137,0,143,1280,1280,1215,0,2495,4,9,1,2,660,224,32,0,243500
113,,10603,6,7,1977,46,1200,0,410,1610,1610,0,0,1610,3,6,2,2,480,168,68,0,205000
114,,18837,6,5,1978,45,687,46,491,1224,1287,604,0,1891,3,7,1,2,678,0,69,0,212500
115,80,10421,7,5,1988,35,394,0,586,980,980,734,0,1714,3,7,1,2,496,228,66,500,196500
116,78,9360,6,7,1972,51,982,0,179,1161,1381,0,0,1381,3,5,1,2,676,0,0,0,197500
117,80,9600,6,6,1971,52,329,0,386,715,930,715,0,1645,4,7,0,2,441,0,78,0,171000
118,80,9600,5,5,1966,57,698,0,534,1232,1232,0,0,1232,3,6,0,2,490,0,224,0,142250
119,,9790,6,5,1963,60,569,81,678,1328,1328,0,0,1328,3,6,2,2,528,0,26,0,143000
120,77,9320,4,5,1959,64,569,0,381,950,1225,0,0,1225,3,6,0,0,0,352,0,400,128950
121,90,9900,5,5,1966,57,1059,0,150,1209,1209,0,0,1209,3,6,0,2,504,0,0,0,159000
122,88,9680,5,6,1967,56,1010,0,500,1510,1510,0,0,1510,3,6,0,2,517,0,40,0,178900
123,,10600,6,5,1964,59,0,0,533,533,1131,644,0,1775,3,8,0,2,480,0,172,0,136300
124,,14112,5,7,1964,59,1014,0,138,1152,1152,0,0,1152,3,6,1,2,484,227,0,0,180500
125,80,8800,6,7,1963,60,763,0,173,936,1054,0,0,1054,3,6,0,2,480,120,0,0,137500
126,98,13260,5,6,1962,61,1500,0,228,1728,1728,0,0,1728,6,10,0,0,0,0,0,0,84900
127,68,9717,5,6,1950,73,49,1029,0,1078,1078,0,0,1078,2,5,0,1,240,366,0,0,142125
128,68,9724,5,7,1952,71,670,0,470,1140,1929,532,0,2461,3,7,2,2,400,0,0,0,197600
129,120,17360,6,6,1949,74,300,0,482,782,1019,537,0,1556,3,6,1,2,470,0,0,0,172500
130,50,7207,5,7,1958,65,696,0,162,858,858,0,0,858,2,4,0,0,0,117,0,0,116500
131,55,5350,3,2,1940,83,0,0,728,728,1306,0,0,1306,3,6,0,0,0,263,0,450,76500
132,80,9920,5,5,1954,69,354,290,412,1056,1063,0,0,1063,3,6,0,1,280,0,0,0,128000
133,80,9600,6,6,1955,68,674,132,350,1156,1520,0,0,1520,3,7,2,1,364,0,0,0,153000
134,78,7800,5,6,1954,69,540,0,728,1268,1268,0,0,1268,2,7,1,1,244,0,98,0,132000
135,75,11380,6,8,1966,57,944,0,136,1080,1128,0,0,1128,2,5,1,1,315,238,0,1500,178000
136,80,11600,5,5,1960,63,443,0,662,1105,1105,1169,0,2274,5,12,0,2,480,0,0,0,154300
137,,19900,7,5,1970,53,912,0,1035,1947,2207,0,0,2207,3,7,1,2,576,301,0,0,180000
138,137,16492,6,6,1966,57,247,713,557,1517,1888,0,0,1888,2,6,1,2,578,0,0,0,190000
139,70,8267,5,5,1958,65,0,0,1604,1604,1604,0,0,1604,4,8,0,2,576,42,0,0,135000
140,70,8197,7,5,2003,20,1188,0,292,1480,1480,0,0,1480,3,7,0,2,620,252,73,300,214000
141,,8050,5,5,1959,64,856,162,125,1143,1143,0,0,1143,3,6,0,1,308,0,0,0,136000
142,70,10552,5,5,1959,64,1018,0,380,1398,1700,0,0,1700,4,6,1,2,447,0,38,0,165500
143,70,8400,5,6,1957,66,922,0,392,1314,1314,0,0,1314,3,5,0,1,294,250,0,0,145000
144,73,8760,6,6,1959,64,0,0,1194,1194,1194,0,0,1194,3,6,0,1,312,0,0,0,148000
145,,12160,5,5,1959,64,1000,0,188,1188,1188,0,0,1188,3,6,0,2,531,0,0,0,142000
146,73,9300,5,5,1960,63,697,0,571,1268,1264,0,0,1264,3,6,2,2,461,0,0,0,167500
147,87,10725,5,5,1959,64,936,0,270,1206,1206,0,0,1206,3,6,0,1,312,0,21,0,108538
148,80,10032,6,5,1959,64,734,0,510,1244,1580,0,0,1580,3,6,2,2,440,0,28,0,159500
149,60,8382,4,5,1956,67,0,0,832,832,832,505,0,1337,3,5,0,1,263,0,0,0,108000
150,60,10950,5,7,1952,71,339,0,525,864,1064,0,0,1064,2,4,0,1,318,0,0,0,135000
151,119,10895,5,6,1955,68,648,0,324,972,972,0,0,972,3,5,0,1,305,0,0,0,122500
152,70,13587,5,5,1958,65,532,0,456,988,988,0,0,988,2,5,0,1,264,0,0,0,119000
153,68,7922,5,7,1953,70,731,0,326,1057,1057,0,0,1057,3,5,0,1,246,0,52,0,109000
154,65,7898,4,7,1920,103,0,0,576,576,985,0,0,985,2,4,0,2,676,0,0,0,105000
155,60,7200,5,7,1955,68,0,0,0,0,827,0,0,827,2,5,1,1,392,0,0,0,107500
156,85,10200,5,7,1954,69,320,362,404,1086,1086,0,0,1086,3,6,0,2,490,0,0,0,144900
157,74,5868,5,7,1956,67,248,240,448,936,936,0,0,936,2,4,0,1,308,0,0,0,129000
158,78,17503,6,5,1948,75,0,0,912,912,912,546,0,1458,3,6,1,1,330,192,0,0,97500
159,64,6979,6,5,1980,43,1056,0,0,1056,1056,0,0,1056,0,4,0,2,576,264,56,600,144000
160,,9830,5,7,1959,64,72,258,733,1063,1287,0,0,1287,3,7,1,2,576,364,17,0,162000
161,96,11275,7,7,1967,56,0,0,710,710,1898,1080,0,2978,5,11,1,2,564,240,0,0,242000
162,60,8064,6,8,1948,75,481,174,161,816,816,408,0,1224,3,5,0,1,280,414,0,0,132000
163,75,7500,5,7,1959,64,340,906,0,1246,1246,0,0,1246,3,6,0,1,305,218,0,0,154000
164,71,8520,5,4,1952,71,507,0,403,910,910,475,0,1385,4,6,0,2,720,0,0,0,166000
165,60,7200,5,7,1951,72,234,486,180,900,900,0,0,900,3,5,0,2,576,222,32,0,134800
166,87,10000,6,6,1962,61,0,0,1116,1116,1116,0,0,1116,3,5,0,2,440,0,0,0,160000
167,81,7635,5,6,1960,63,588,350,237,1175,1175,0,0,1175,3,6,0,2,484,0,0,0,148000
168,80,9760,6,7,1963,60,717,263,415,1395,1395,0,0,1395,2,7,1,2,440,657,0,0,192000
169,70,7700,6,5,1966,57,0,0,756,756,1051,788,0,1839,4,7,1,2,442,0,124,0,155000
170,60,4800,4,5,1900,123,48,0,661,709,1157,687,0,1844,3,9,2,1,240,84,0,0,80400
171,55,8800,4,7,1910,113,0,0,576,576,792,348,0,1140,3,7,0,0,0,0,160,0,96500
172,56,4485,5,7,1920,103,579,0,357,936,936,0,0,936,2,5,1,0,0,51,0,0,109500
173,56,8960,5,6,1927,96,0,0,1008,1008,1028,0,0,1028,2,5,1,2,360,0,0,0,115000
174,69,5805,5,7,1957,66,274,1073,0,1347,1347,0,0,1347,3,6,0,2,551,0,0,0,143000
175,60,5790,3,6,1915,108,0,0,840,840,840,765,0,1605,3,8,0,1,379,0,0,0,107400
176,47,4608,4,6,1945,78,0,0,747,747,747,0,0,747,2,4,0,1,220,0,0,0,80000
177,60,7200,5,7,1940,83,510,0,278,788,804,0,0,804,2,4,2,1,240,0,0,0,119000
178,50,5500,5,7,1929,94,234,692,0,926,926,0,390,1316,3,6,0,2,484,0,0,0,130000
179,50,6900,6,7,1938,85,0,0,827,827,827,424,0,1251,3,6,0,1,240,0,0,0,119000
180,69,11851,5,7,1948,75,780,0,247,1027,1027,606,0,1633,3,7,1,1,240,0,100,0,129000
181,,8239,5,6,1920,103,176,0,832,1008,1060,185,0,1245,3,6,0,1,315,0,0,0,100000
182,68,9656,2,2,1923,100,0,0,678,678,832,0,0,832,2,5,1,2,780,0,0,0,12789
183,60,8520,6,8,1928,95,0,0,624,624,720,0,0,720,2,5,0,2,484,106,0,0,105900
184,60,9600,8,9,1900,123,0,0,930,930,930,636,0,1566,3,7,0,1,288,54,228,0,150000
185,60,10800,5,6,1915,108,686,0,0,686,966,686,0,1652,4,7,0,1,416,0,0,1200,139000
186,50,9000,8,9,1890,133,0,0,346,346,1157,1111,0,2268,3,7,0,2,624,0,108,0,240000
187,100,9045,5,3,1910,113,0,0,840,840,1128,1128,0,2256,4,12,0,0,0,0,18,0,76500
188,90,7407,6,7,1957,66,600,0,312,912,1236,0,0,1236,2,6,0,2,923,0,158,0,149700
189,60,7740,4,7,1910,113,0,0,622,622,741,622,0,1363,3,6,0,2,528,0,0,0,125500
190,60,11340,4,6,1885,138,0,0,777,777,1246,1044,0,2290,4,11,0,2,560,0,0,0,122500
191,60,10560,6,7,1922,101,283,0,455,738,868,602,0,1470,2,6,0,2,624,0,0,0,140750
192,53,5830,5,6,1950,73,788,0,200,988,1030,582,0,1612,3,7,0,1,363,0,0,0,128500
193,,7793,7,7,1922,101,474,0,634,1108,1160,908,0,2068,3,8,1,1,315,0,0,0,209500
194,50,5000,4,7,1925,98,188,0,577,765,765,0,0,765,2,4,0,1,200,135,0,0,87000
195,50,6000,6,7,1939,84,452,12,144,608,608,524,0,1132,2,5,0,1,240,0,0,0,134000
196,50,6000,6,6,1940,83,264,0,308,572,848,348,0,1196,3,6,2,2,576,0,0,0,128000
197,53,6360,5,6,1942,81,360,159,316,835,955,498,0,1453,3,7,2,1,240,0,0,0,132000
198,50,6000,6,7,1948,75,300,0,480,780,780,636,0,1416,3,6,0,1,312,221,0,0,139900
199,52,6240,5,7,1936,87,276,0,252,528,548,492,0,1040,2,5,0,2,624,306,0,0,123900
200,52,6240,5,5,1930,93,448,0,480,928,928,608,0,1536,4,7,1,2,480,0,10,0,138400
201,51,6120,6,5,1923,100,960,0,164,1124,1068,0,0,1068,2,5,1,1,288,0,0,0,109500
202,50,10300,7,6,1921,102,0,0,576,576,902,808,0,1710,3,9,0,2,480,12,11,0,140000
203,57,8094,4,5,1915,108,0,0,888,888,888,1074,0,1962,4,9,1,2,572,160,0,0,149500
204,60,12900,6,8,1912,111,0,0,780,780,780,780,0,1560,3,7,0,0,0,344,0,0,159900
205,52,3068,6,8,1920,103,0,0,662,662,662,662,0,1324,3,6,0,1,180,0,0,0,122000
206,110,8472,5,5,1963,60,104,712,0,816,816,0,0,816,2,5,0,2,516,106,0,0,110000
207,70,5600,4,5,1930,93,0,0,0,0,372,720,0,1092,3,7,0,0,0,0,0,3500,55000
208,76,7630,5,9,1900,123,0,0,360,360,1032,780,0,1812,4,8,1,2,672,344,0,0,140000
209,,24090,7,7,1940,83,0,0,1032,1032,1207,1196,0,2403,4,10,2,1,349,56,0,0,244400
210,100,15263,5,5,1959,64,766,0,656,1422,1675,0,0,1675,3,8,2,1,365,0,132,0,173000
211,72,10632,5,3,1917,106,0,0,689,689,725,499,0,1224,3,6,0,1,180,0,0,0,107500
212,60,9900,5,4,1915,108,1026,0,186,1212,1212,180,0,1392,3,6,0,0,0,0,0,0,100000
213,65,6001,6,5,1940,83,368,0,232,600,600,319,0,919,3,5,0,1,231,0,0,0,95000
214,,6449,4,1,1907,116,73,0,634,707,942,942,0,1884,4,7,0,0,0,0,0,0,93369
215,60,6048,5,7,1910,113,736,0,120,856,936,744,0,1680,2,7,1,2,450,56,144,0,114900
216,54,6342,5,8,1875,148,0,0,780,780,780,240,0,1020,2,6,0,0,0,0,0,0,94000
217,72,10773,4,3,1967,56,704,0,1128,1832,1832,0,0,1832,4,8,0,0,0,0,58,0,136000
218,72,10778,4,5,1968,55,0,0,1768,1768,1768,0,0,1768,4,8,0,0,0,0,0,0,136500
219,75,11625,5,4,1965,58,841,0,198,1039,1039,0,0,1039,3,6,0,2,504,0,0,0,131500
220,,11341,5,6,1957,66,1302,0,90,1392,1392,0,0,1392,3,5,1,2,528,0,0,0,121500
221,70,8521,5,5,1967,56,842,0,70,912,912,0,0,912,3,5,1,1,336,0,0,0,125000
222,,8246,5,8,1968,55,188,668,204,1060,1060,0,0,1060,3,6,1,1,270,406,90,0,154000
223,65,7800,5,7,1966,57,240,474,150,864,892,0,0,892,3,5,0,1,416,0,0,0,137900
224,80,9364,6,7,1969,54,371,0,292,663,663,689,0,1352,4,7,0,1,299,379,36,0,158000
225,65,7832,5,5,1968,55,775,0,89,864,864,0,0,864,2,4,0,1,280,226,0,0,137250
226,,7424,5,5,1978,45,1319,0,0,1319,1373,0,0,1373,3,5,2,2,591,0,0,0,160250
227,86,11227,5,5,1968,55,267,453,0,720,720,720,0,1440,4,7,2,2,480,192,38,0,163000
228,,11616,6,5,1978,45,438,0,234,672,672,714,0,1386,3,6,1,2,440,335,0,0,158900
229,80,14000,7,5,1996,27,1201,0,105,1306,1306,954,0,2260,3,7,0,2,533,296,44,0,328000
230,,20062,7,7,1977,46,1092,0,328,1420,1483,0,0,1483,1,4,2,2,690,496,0,0,270000
231,94,9259,4,4,1927,96,0,0,660,660,756,0,0,756,2,4,0,2,440,80,0,0,85000
232,60,9600,4,7,1950,73,442,0,625,1067,1067,0,0,1067,2,4,0,2,436,290,0,0,128000
233,,23595,7,6,1979,44,1258,0,74,1332,1332,192,0,1524,0,4,1,2,586,268,0,0,260000
234,,17082,6,5,1978,45,964,0,153,1117,1117,864,0,1981,4,8,1,2,522,336,104,0,230000
235,124,18600,3,4,1938,85,288,684,0,972,1052,558,0,1610,4,8,1,1,480,0,0,450,124000
236,85,10625,5,5,1920,103,108,0,350,458,835,0,0,835,2,5,0,1,366,0,0,400,83000
237,65,11479,6,7,1950,73,104,387,172,663,1074,0,0,1074,3,6,1,1,467,0,52,0,144500
238,68,9571,5,6,1956,67,739,0,405,1144,1144,0,0,1144,3,6,0,1,596,44,0,0,129000
239,50,9350,4,6,1947,76,192,0,564,756,1169,0,362,1531,3,8,1,1,209,0,0,0,127000
240,75,9525,5,7,1954,69,954,0,218,1172,1172,0,0,1172,3,5,0,1,366,240,0,0,128000
241,83,10420,6,5,2009,14,36,0,1176,1212,1212,0,0,1212,3,6,0,2,460,100,22,0,186000
242,44,17485,7,5,2009,14,1346,0,162,1508,1508,0,0,1508,1,5,2,2,572,0,0,0,308030
243,,11200,5,3,1964,59,0,0,1250,1250,1298,0,0,1298,3,5,0,2,504,0,144,0,114000
244,60,11100,4,7,1946,77,0,0,0,0,930,0,0,930,2,6,0,1,308,0,0,0,84900
245,77,9206,6,5,1985,38,0,0,741,741,977,755,0,1732,3,7,1,2,476,192,46,0,178000
246,83,11980,7,5,1987,36,1433,0,0,1433,1433,0,0,1433,1,4,2,2,528,0,278,0,270000
247,87,12361,6,7,1993,30,860,0,86,946,964,838,0,1802,3,8,1,4,1017,450,92,0,218000
248,80,9938,7,5,1993,30,750,0,300,1050,1062,887,0,1949,3,8,1,2,574,156,90,0,236000
249,73,9069,6,6,1992,31,747,0,189,936,996,0,0,996,2,5,0,2,564,120,0,0,147000
250,64,10475,8,5,2008,15,0,0,1694,1694,1694,0,0,1694,3,7,0,3,776,160,33,0,245350
251,64,6762,7,5,2006,17,686,0,501,1187,1208,0,0,1208,2,6,0,2,632,105,61,0,206000
252,94,10402,7,5,2009,14,0,0,1226,1226,1226,0,0,1226,3,6,0,3,740,0,36,0,198900
253,64,7360,7,5,2010,13,24,0,1198,1222,1222,0,0,1222,2,6,0,2,615,0,54,0,187000
254,90,12376,7,5,1990,33,1470,0,203,1673,1699,1523,0,3222,5,11,2,3,594,367,0,0,320000
255,82,14235,6,8,1900,123,0,0,676,676,831,614,0,1445,3,6,0,2,484,0,59,0,138500
